ID,Modulo,Estado,Frontend,Componente,Endpoint,Backend,Servicio,Tabla,Roles,Dependencias,Pruebas,Brecha,PrimerArchivo,Riesgo
MAP-01,Autenticacion y sesion,IMPLEMENTADO,/login,LoginPage,POST /api/auth/login,backend/src/routes/auth.routes.ts,bcrypt y JWT,usuarios,publico; luego todos,JWT_SECRET y DB,No automatizadas localizadas,Sin brecha MVP explicita,frontend/src/app/login/page.tsx,Alto
MAP-02,Dashboard,INCONSISTENTE,/dashboard,Dashboard,NO LOCALIZADO,NO LOCALIZADO,mockData,memoria local,admin efectivo,Auth y decision institucional,No automatizadas,GAP-07 datos simulados,frontend/src/app/dashboard/page.tsx,Alto
MAP-03,Usuarios,IMPLEMENTADO,/admin/usuarios*,Paginas usuarios,GET POST PATCH /api/admin/usuarios*,backend/src/routes/admin.routes.ts,bcrypt y consultas,usuarios; empresas,admin,Auth y Empresas,Regresion documental; suite no localizada,Sin brecha MVP aislada,backend/src/routes/admin.routes.ts,Alto
MAP-04,Empresas,PARCIAL,/admin/empresas y crear editar,Paginas empresas,GET /api/admin/empresas; escrituras NO LOCALIZADAS,backend/src/routes/admin.routes.ts,consulta directa,empresas,admin escritura UI; admin consultor lectura,Auth; Usuarios; Clientes,Suite no localizada,GAP-03 CRUD incompleto,backend/src/routes/admin.routes.ts,Alto
MAP-05,Clientes listado y consulta,IMPLEMENTADO,/cliente/clientes*,Listado y detalle,GET /api/cliente/clientes y /:id,backend/src/routes/cliente.routes.ts,materializeChildren,clientes y relacionadas,admin consultor cliente por empresa,Auth Empresa Contrato,Suite no localizada,GAP-05 campos,frontend/src/app/cliente/clientes/[id]/page.tsx,Alto
MAP-06,Registro clientes PF,IMPLEMENTADO,/cliente/registrar-cliente,ClientPage,POST /api/cliente/registrar-cliente,backend/src/routes/cliente.routes.ts,validacion y transaccion,clientes; cliente_relacionados; cliente_recursos_terceros,admin cliente,BC Catalogos Auth,Suite no localizada,GAP-01 GAP-02 GAP-05,frontend/src/app/cliente/registrar-cliente/ClientPage.tsx,Alto
MAP-07,Registro clientes PM,IMPLEMENTADO,/cliente/registrar-cliente,ClientPage PM,POST /api/cliente/registrar-cliente,backend/src/routes/cliente.routes.ts,validacion BC y transaccion,clientes; cliente_duenos_beneficiarios; cliente_relacionados,admin cliente,BC Empresa Catalogos,Suite no localizada,Regresion de contrato,backend/src/routes/cliente.routes.ts,Alto
MAP-08,Registro fideicomiso,IMPLEMENTADO,/cliente/registrar-cliente,ClientPage FID,POST /api/cliente/registrar-cliente,backend/src/routes/cliente.routes.ts,validacion FID BC,clientes y relacionadas,admin cliente,BC Empresa,Suite no localizada,Cobertura especifica no localizada,frontend/src/app/cliente/registrar-cliente/ClientPage.tsx,Alto
MAP-09,Edicion clientes,IMPLEMENTADO,/cliente/editar-cliente/[id],EditarClientePage,GET PUT /api/cliente/clientes/:id,backend/src/routes/cliente.routes.ts,deepMerge y transaccion,clientes y relacionadas,admin consultor cliente por empresa,Contrato y compatibilidad legacy,Suite no localizada,GAP-05,frontend/src/app/cliente/editar-cliente/[id]/page.tsx,Muy alto
MAP-10,Beneficiario Controlador,IMPLEMENTADO,/cliente/registrar-cliente y editar,Controles en ClientPage y editar,POST registrar y PUT cliente,backend/src/routes/cliente.routes.ts,normalizacion y validacion,clientes.datos_completos; cliente_relacionados; cliente_duenos_beneficiarios,segun flujo cliente,PF PM FID e impresion,Suite no localizada,GAP-01 UX y legado,frontend/src/app/cliente/registrar-cliente/ClientPage.tsx,Muy alto
